variable,form,data type,description,input AAO model,input drive model
irascore,PBA-S,continuous,Irritability aggression score,FALSE,TRUE
irrscore,HADS-SIS,continuous,Irritability subscore,FALSE,TRUE
jobpaid,Var Items II,categorical,Work status (if employed),FALSE,TRUE
laundry,Function,categorical,Could subject do his/her own laundry (wash/dry) without help?,FALSE,TRUE
luria,Motor,ordinal,Luria,FALSE,TRUE
mcs,SF-12,continuous,Mental component,FALSE,TRUE
mh,SF-12,continuous,Mental health,FALSE,TRUE
mmsetotal,MMSE,continuous,Mini Mental State Examination,FALSE,TRUE
motscore,Motor,continuous,Motor score (TMS),FALSE,TRUE
occupatn,TFC,ordinal,Occupation,FALSE,TRUE
ocularh,Motor,ordinal,Ocular horizontal,FALSE,TRUE
ocularv,Motor,ordinal,Ocular vertical,FALSE,TRUE
outscore,HADS-SIS,continuous,Outward irritability subscore,FALSE,TRUE
ownmeds,Function,categorical,Could subject take his/her own medication without help?,FALSE,TRUE
packy,Var Items I,continuous,Life time exposure to tobacco (packyears),FALSE,TRUE
pcs,SF-12,continuous,Physical component,FALSE,TRUE
pf,SF-12,continuous,Physical functioning,FALSE,TRUE
prepmeal,Function,categorical,Could participant prepare his/her own meals without help?,FALSE,TRUE
prosupl,Motor,ordinal,Left pronate supinate?hands,FALSE,TRUE
prosupr,Motor,ordinal,Right pronate supinate?hands,FALSE,TRUE
psyscore,PBA-S,continuous,Psychosis score,FALSE,TRUE
pubtrans,Function,categorical,Could subject use public transport to get to places without help?,FALSE,TRUE
re,SF-12,continuous,Role-emotional,FALSE,TRUE
retropls,Motor,ordinal,Retropulsion pull test,FALSE,TRUE
rigarml,Motor,ordinal,Left rigidity?arms,FALSE,TRUE
rigarmr,Motor,ordinal,Right rigidity?arms,FALSE,TRUE
rp,SF-12,continuous,Role-physical,FALSE,TRUE
rtrnwk,Var Items II,categorical,Do you inted to return to work?,FALSE,TRUE
sacinith,Motor,ordinal,Saccade initiation horizontal,FALSE,TRUE
sacinitv,Motor,ordinal,Saccade initiation vertical,FALSE,TRUE
sacvelh,Motor,ordinal,Saccade velocity horizontal,FALSE,TRUE
sacvelv,Motor,ordinal,Saccade velocity vertical,FALSE,TRUE
scnt1,Cognitive,continuous,Stroop colour naming test - Total correct,FALSE,TRUE
scst1,Physiotherapy,continuous,30 second chair stand test - Number of times the participant stands in 30 seconds,FALSE,TRUE
sdmt1,Cognitive,continuous,Symbol digit modality test - Total correct,FALSE,TRUE
sf,SF-12,continuous,Social functioning,FALSE,TRUE
sit1,Cognitive,continuous,Stroop Interference test - Total correct,FALSE,TRUE
ssdb,Var Items II,categorical,Do you receive social security or disability benefit?,FALSE,TRUE
supchild,Function,categorical,Could subject supervise children without help?,FALSE,TRUE
swrt1,Cognitive,continuous,Stroop word reading test - Total correct,FALSE,TRUE
sxfam,Profile,continuous,Symptoms first noted by family,FALSE,TRUE
sxfamm,Profile,categorical,Initial major symptoms noted by family,FALSE,TRUE
sxraterm,Profile,categorical,Rater's judgement of initial major symptom,FALSE,TRUE
sxsubj,Profile,continuous,Symptoms first noted by participant,FALSE,TRUE
sxsubjm,Profile,categorical,Initial major symptoms noted by participant,FALSE,TRUE
tandem,Motor,ordinal,Tandem walking,FALSE,TRUE
telephon,Function,categorical,Could subject use the telephone without help?,FALSE,TRUE
tfcscore,TFC,continuous,Functional score,FALSE,TRUE
tobcpd,Var Items I,continuous,Cigarettes per day,FALSE,TRUE
tobyos,Var Items I,continuous,Years of smoking,FALSE,TRUE
toilet,Function,categorical,Could subject use toilet/commode without help?,FALSE,TRUE
tongue,Motor,ordinal,Tongue protrusion,FALSE,TRUE
trla1,Cognitive,continuous,Trailmaking test part A - Time to complete,FALSE,TRUE
trlb1,Cognitive,continuous,Trailmaking test part B - Time to complete,FALSE,TRUE
trnchair,Function,categorical,Could subject tranfer between chairs without help?,FALSE,TRUE
tug1,Physiotherapy,continuous,"Timed ""Up and Go"" test - Total time",FALSE,TRUE
verfct5,Cognitive,continuous,Verbal fluency test - Total correct (3 min),FALSE,TRUE
verflt05,Cognitive,continuous,Letter verbal fluency - Total correct,FALSE,TRUE
volunt,Function,categorical,Could subject engage in any kind of volunteer or non-gainful work?,FALSE,TRUE
vt,SF-12,continuous,Vitality,FALSE,TRUE
walkfall,Function,categorical,Could subject walk without falling?,FALSE,TRUE
walkhelp,Function,categorical,Could subject walk without help?,FALSE,TRUE
walknbr,Function,categorical,Could subject walk to places in his/her neighbourhood without help?,FALSE,TRUE
