variable,form,data type,description
sbh3,C-SSRS,categorical,Has there been a time when you started to do something to your life but someone or something stopped you before you actually did anything?
sbh3n,C-SSRS,continuous,Number of suicidal attempts interupted by something or someone else
sbh4,C-SSRS,categorical,Has there been a time when you started to do something to try to end your life but you stopped yourself before you actually did anything?
sbh4n,C-SSRS,continuous,Number of suicidal attempts aborted by subject
sbh5,C-SSRS,categorical,"Have you taken any steps towards making a suicide attempt or preparing to kill yourself (such as collecting pills, getting a gun, giving valuables away or writing a suicide note)?"
sbh6,C-SSRS,categorical,Suicidal behaviour was present during the assessment period?
sbh7,C-SSRS,categorical,Completed Suicide was present during the assessment period
scnt,Cognitive,categorical,Did the participant complete the stroop colour naming test?
scnt1,Cognitive,continuous,Stroop colour naming test - Total correct
scnt2,Cognitive,continuous,Stroop colour naming test - Total errors
scnt3,Cognitive,continuous,Stroop colour naming test - Total self-corrected errors
scntnd,Cognitive,categorical,Reason why stroop colour naming test was not completed
scoring,SF-12,categorical,Online short form health survey scoring status
scst,Physiotherapy,categorical,Did the participant perform the 30 second chair stand test?
scst1,Physiotherapy,continuous,30 second chair stand test - Number of times the participant stands in 30 seconds
sdmt,Cognitive,categorical,Did the participant complete the symbol digit modality test?
sdmt1,Cognitive,continuous,Symbol digit modality test - Total correct
sdmt2,Cognitive,continuous,Symbol digit modality test - Total errors
sdmtnd,Cognitive,categorical,Reason why symbol digit modality test was not completed
seq,Key Variables,categorical,Visit index
sex,Profile,categorical,Gender
sf,SF-12,continuous,Social functioning
sid1,C-SSRS,categorical,Have you wished you were dead or wished you could go to sleep and not wake up?
sid2,C-SSRS,categorical,Have you actually had any thoughts of killing yourself?
sid3,C-SSRS,categorical,Have you been thinking about how you might do this?
sid4,C-SSRS,categorical,Have you had thoughts on how you might commit suicide and some intention of acting on them?
sid5,C-SSRS,categorical,Have you started to work out or worked out the details of how to kill yourself? Do you inted to carry out this plan?
sit,Cognitive,categorical,Did the participant complete the stroop interference test?
sit1,Cognitive,continuous,Stroop Interference test - Total correct
sit2,Cognitive,continuous,Stroop Interference test - Total errors
sit3,Cognitive,continuous,Stroop Interference test - Total self-corrected errors
ssdb,Var Items II,categorical,Do you receive social security or disability benefit?
studyid,Key Variables,categorical,"Study ID under which the visit was done: Enroll, RegistryV3, RegistryV2, or RET"
subjid,Key Variables,categorical,Participant's study ID (HDID)
supchild,Function,categorical,Could subject supervise children without help?
swrt,Cognitive,categorical,Did the participant complete the stroop word reading test?
swrt1,Cognitive,continuous,Stroop word reading test - Total correct
swrt2,Cognitive,continuous,Stroop word reading test - Total errors
swrt3,Cognitive,continuous,Stroop word reading test - Total self-corrected errors
swrtnd,Cognitive,categorical,Reason why stroop word reading test was not completed
sxest,Profile,categorical,Can the rater estimate the symptom onset
sxestcfd,Profile,ordinal,Rater's confidence of estimate
sxfam,Profile,continuous,Symptoms first noted by family
sxfamm,Profile,categorical,Initial major symptoms noted by family
sxgs,Profile,ordinal,What is rater's best guess of how many years ago sympton onset (age at onset) took place
sxraterm,Profile,categorical,Rater's judgement of initial major symptom
sxreas,Profile,categorical,Reason why rater can not estimate symptom onset (age at onset)
sxsubj,Profile,continuous,Symptoms first noted by participant
sxsubjm,Profile,categorical,Initial major symptoms noted by participant
tandem,Motor,ordinal,Tandem walking
telephon,Function,categorical,Could subject use the telephone without help?
tfcscore,TFC,continuous,Functional score
tobab,Var Items I,categorical,Does the participant currently smoke
tobcpd,Var Items I,continuous,Cigarettes per day
tobyos,Var Items I,continuous,Years of smoking
toilet,Function,categorical,Could subject use toilet/commode without help?
tongue,Motor,ordinal,Tongue protrusion
trl,Cognitive,categorical,Did the participant complete the trailmaking test?
trla1,Cognitive,continuous,Trailmaking test part A - Time to complete
trla2,Cognitive,continuous,Trailmaking test part A - Total correct
trla3,Cognitive,continuous,Trailmaking test part A - Total errors
trlb1,Cognitive,continuous,Trailmaking test part B - Time to complete
trlb2,Cognitive,continuous,Trailmaking test part B - Total correct
trlb3,Cognitive,continuous,Trailmaking test part B - Total errors
trnchair,Function,categorical,Could subject tranfer between chairs without help?
trq,Var Items I,categorical,Does the participant abuse tranquilizers
tug,Physiotherapy,categorical,"Did the participant perform the timed ""Up and go"" test?"
tug1,Physiotherapy,continuous,"Timed ""Up and Go"" test - Total time"
updsc,Var Items II,categorical,Any changes to the following General Variable Items
verfct,Cognitive,categorical,Did the participant complete the verbal fluency test test?
verfct5,Cognitive,continuous,Verbal fluency test - Total correct (3 min)
verfct6,Cognitive,continuous,Verbal fluency test - Total intrusion errors
verfct7,Cognitive,continuous,Verbal fluency test - Total perservative errors
verfctd,Cognitive,categorical,Verbal fluency test category
verfctnd,Cognitive,categorical,Reason why verbal fluency test was not completed
verflt,Cognitive,categorical,Did the participant complete the verbal fluency letter test?
verflt05,Cognitive,continuous,Letter verbal fluency - Total correct
verflt06,Cognitive,continuous,Letter verbal fluency - Total intrusion errors
verflt07,Cognitive,continuous,Letter verbal fluency - Total perseverative errors
visdy,Key Variables,continuous,Number of days relative to baseline date of Enroll-HD
visit,Key Variables,categorical,"Visit name: Baseline, Follow-Up, Phone Contact, Unscheduled, or Retro Visit"
visstat,Key Variables,categorical,"Visit status: plausible, reviewing, completed"
volunt,Function,categorical,Could subject engage in any kind of volunteer or non-gainful work?
vt,SF-12,continuous,Vitality
walkfall,Function,categorical,Could subject walk without falling?
walkhelp,Function,categorical,Could subject walk without help?
walknbr,Function,categorical,Could subject walk to places in his/her neighbourhood without help?
weight,Var Items I,continuous,Weight (Kg)
